1 , 5
GrossProfit,324
Cost,170
Total profit,154
Late cars count,18
Total cars,25
Late car percent,72.0
GrossProfit,324
Cost,170
Total profit,154
Late cars count,17
Total cars,25
Late car percent,68.0
GrossProfit,357
Cost,170
Total profit,187
Late cars count,19
Total cars,28
Late car percent,67.85714285714286
GrossProfit,345
Cost,170
Total profit,175
Late cars count,21
Total cars,28
Late car percent,75.0
GrossProfit,367
Cost,170
Total profit,197
Late cars count,22
Total cars,30
Late car percent,73.33333333333333
